"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-01","Newfoundland and Labrador","2016A000210","Payroll employees","Number","223","units","0","v104272657","2.3","193395","A","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","Payroll employees","Number","223","units","0","v104272657","2.3","196105","A","","","0"
"2023-07","Newfoundland and Labrador","2016A000210","Payroll employees","Number","223","units","0","v104272657","2.3","214010","A","","","0"
"2022-07","Newfoundland and Labrador","2016A000210","Job vacancy rate","Percentage","242","units","0","v104272658","2.4","3.7","A","","","1"
"2022-10","Newfoundland and Labrador","2016A000210","Job vacancy rate","Percentage","242","units","0","v104272658","2.4","3.3","A","","","1"
"2023-01","Newfoundland and Labrador","2016A000210","Job vacancy rate","Percentage","242","units","0","v104272658","2.4","2.9","B","","","1"
"2023-04","Newfoundland and Labrador","2016A000210","Job vacancy rate","Percentage","242","units","0","v104272658","2.4","4.2","A","","","1"
"2023-07","Newfoundland and Labrador","2016A000210","Job vacancy rate","Percentage","242","units","0","v104272658","2.4","3.3","A","","","1"
"2022-07","Newfoundland and Labrador","2016A000210","Average offered hourly wage","Dollars","81","units","0","v104272659","2.5","22.30","A","","","2"
"2022-10","Newfoundland and Labrador","2016A000210","Average offered hourly wage","Dollars","81","units","0","v104272659","2.5","22.60","A","","","2"
"2023-01","Newfoundland and Labrador","2016A000210","Average offered hourly wage","Dollars","81","units","0","v104272659","2.5","24.40","A","","","2"
"2023-04","Newfoundland and Labrador","2016A000210","Average offered hourly wage","Dollars","81","units","0","v104272659","2.5","23.15","A","","","2"
"2023-07","Newfoundland and Labrador","2016A000210","Average offered hourly wage","Dollars","81","units","0","v104272659","2.5","23.25","A","","","2"
"2022-07","Prince Edward Island","2016A000211","Job vacancies","Number","223","units","0","v104272676","3.1","4090","B","","","0"
"2022-10","Prince Edward Island","2016A000211","Job vacancies","Number","223","units","0","v104272676","3.1","3370","B","","","0"
"2023-01","Prince Edward Island","2016A000211","Job vacancies","Number","223","units","0","v104272676","3.1","3010","C","","","0"
"2023-04","Prince Edward Island","2016A000211","Job vacancies","Number","223","units","0","v104272676","3.1","4100","B","","","0"
"2023-07","Prince Edward Island","2016A000211","Job vacancies","Number","223","units","0","v104272676","3.1","3240","B","","","0"
"2022-07","Prince Edward Island","2016A000211","Payroll employees","Number","223","units","0","v104272677","3.3","72135","A","","","0"
"2022-10","Prince Edward Island","2016A000211","Payroll employees","Number","223","units","0","v104272677","3.3","70365","A","","","0"
"2023-01","Prince Edward Island","2016A000211","Payroll employees","Number","223","units","0","v104272677","3.3","64600","A","","","0"
"2023-04","Prince Edward Island","2016A000211","Payroll employees","Number","223","units","0","v104272677","3.3","67700","A","","","0"
"2023-07","Prince Edward Island","2016A000211","Payroll employees","Number","223","units","0","v104272677","3.3","74415","A","","","0"
"2022-07","Prince Edward Island","2016A000211","Job vacancy rate","Percentage","242","units","0","v104272678","3.4","5.4","B","","","1"
"2022-10","Prince Edward Island","2016A000211","Job vacancy rate","Percentage","242","units","0","v104272678","3.4","4.6","B","","","1"
"2023-01","Prince Edward Island","2016A000211","Job vacancy rate","Percentage","242","units","0","v104272678","3.4","4.5","C","","","1"
"2023-04","Prince Edward Island","2016A000211","Job vacancy rate","Percentage","242","units","0","v104272678","3.4","5.7","B","","","1"
"2023-07","Prince Edward Island","2016A000211","Job vacancy rate","Percentage","242","units","0","v104272678","3.4","4.2","B","","","1"
"2022-07","Prince Edward Island","2016A000211","Average offered hourly wage","Dollars","81","units","0","v104272679","3.5","19.50","A","","","2"
"2022-10","Prince Edward Island","2016A000211","Average offered hourly wage","Dollars","81","units","0","v104272679","3.5","20.70","A","","","2"
"2023-01","Prince Edward Island","2016A000211","Average offered hourly wage","Dollars","81","units","0","v104272679","3.5","22.25","A","","","2"
"2023-04","Prince Edward Island","2016A000211","Average offered hourly wage","Dollars","81","units","0","v104272679","3.5","21.70","A","","","2"
"2023-07","Prince Edward Island","2016A000211","Average offered hourly wage","Dollars","81","units","0","v104272679","3.5","22.45","B","","","2"
"2022-07","Nova Scotia","2016A000212","Job vacancies","Number","223","units","0","v104272684","4.1","22960","A","","","0"
"2022-10","Nova Scotia","2016A000212","Job vacancies","Number","223","units","0","v104272684","4.1","21700","A","","","0"
"2023-01","Nova Scotia","2016A000212","Job vacancies","Number","223","units","0","v104272684","4.1","18765","A","","","0"
"2023-04","Nova Scotia","2016A000212","Job vacancies","Number","223","units","0","v104272684","4.1","20580","A","","","0"
"2023-07","Nova Scotia","2016A000212","Job vacancies","Number","223","units","0","v104272684","4.1","18650","A","","","0"
"2022-07","Nova Scotia","2016A000212","Payroll employees","Number","223","units","0","v104272685","4.3","419620","A","","","0"
"2022-10","Nova Scotia","2016A000212","Payroll employees","Number","223","units","0","v104272685","4.3","419140","A","","","0"
"2023-01","Nova Scotia","2016A000212","Payroll employees","Number","223","units","0","v104272685","4.3","412560","A","","","0"
"2023-04","Nova Scotia","2016A000212","Payroll employees","Number","223","units","0","v104272685","4.3","417630","A","","","0"
"2023-07","Nova Scotia","2016A000212","Payroll employees","Number","223","units","0","v104272685","4.3","431240","A","","","0"
"2022-07","Nova Scotia","2016A000212","Job vacancy rate","Percentage","242","units","0","v104272686","4.4","5.2","A","","","1"
"2022-10","Nova Scotia","2016A000212","Job vacancy rate","Percentage","242","units","0","v104272686","4.4","4.9","A","","","1"
"2023-01","Nova Scotia","2016A000212","Job vacancy rate","Percentage","242","units","0","v104272686","4.4","4.4","A","","","1"
"2023-04","Nova Scotia","2016A000212","Job vacancy rate","Percentage","242","units","0","v104272686","4.4","4.7","A","","","1"
"2023-07","Nova Scotia","2016A000212","Job vacancy rate","Percentage","242","units","0","v104272686","4.4","4.1","A","","","1"
"2022-07","Nova Scotia","2016A000212","Average offered hourly wage","Dollars","81","units","0","v104272687","4.5","20.80","A","","","2"
"2022-10","Nova Scotia","2016A000212","Average offered hourly wage","Dollars","81","units","0","v104272687","4.5","21.85","A","","","2"
"2023-01","Nova Scotia","2016A000212","Average offered hourly wage","Dollars","81","units","0","v104272687","4.5","22.75","A","","","2"
"2023-04","Nova Scotia","2016A000212","Average offered hourly wage","Dollars","81","units","0","v104272687","4.5","22.30","A","","","2"
"2023-07","Nova Scotia","2016A000212","Average offered hourly wage","Dollars","81","units","0","v104272687","4.5","23.55","A","","","2"
"2022-07","New Brunswick","2016A000213","Job vacancies","Number","223","units","0","v104272708","5.1","16430","A","","","0"
"2022-10","New Brunswick","2016A000213","Job vacancies","Number","223","units","0","v104272708","5.1","13840","A","","","0"
"2023-01","New Brunswick","2016A000213","Job vacancies","Number","223","units","0","v104272708","5.1","12560","A","","","0"
"2023-04","New Brunswick","2016A000213","Job vacancies","Number","223","units","0","v104272708","5.1","14885","A","","","0"
"2023-07","New Brunswick","2016A000213","Job vacancies","Number","223","units","0","v104272708","5.1","12375","A","","","0"
"2022-07","New Brunswick","2016A000213","Payroll employees","Number","223","units","0","v104272709","5.3","330580","A","","","0"
"2022-10","New Brunswick","2016A000213","Payroll employees","Number","223","units","0","v104272709","5.3","326895","A","","","0"
"2023-01","New Brunswick","2016A000213","Payroll employees","Number","223","units","0","v104272709","5.3","314390","A","","","0"
"2023-04","New Brunswick","2016A000213","Payroll employees","Number","223","units","0","v104272709","5.3","319850","A","","","0"
"2023-07","New Brunswick","2016A000213","Payroll employees","Number","223","units","0","v104272709","5.3","337555","A","","","0"
"2022-07","New Brunswick","2016A000213","Job vacancy rate","Percentage","242","units","0","v104272710","5.4","4.7","A","","","1"
"2022-10","New Brunswick","2016A000213","Job vacancy rate","Percentage","242","units","0","v104272710","5.4","4.1","A","","","1"
"2023-01","New Brunswick","2016A000213","Job vacancy rate","Percentage","242","units","0","v104272710","5.4","3.8","A","","","1"
"2023-04","New Brunswick","2016A000213","Job vacancy rate","Percentage","242","units","0","v104272710","5.4","4.4","A","","","1"
"2023-07","New Brunswick","2016A000213","Job vacancy rate","Percentage","242","units","0","v104272710","5.4","3.5","A","","","1"
"2022-07","New Brunswick","2016A000213","Average offered hourly wage","Dollars","81","units","0","v104272711","5.5","20.90","A","","","2"
"2022-10","New Brunswick","2016A000213","Average offered hourly wage","Dollars","81","units","0","v104272711","5.5","20.75","A","","","2"
"2023-01","New Brunswick","2016A000213","Average offered hourly wage","Dollars","81","units","0","v104272711","5.5","22.40","A","","","2"
"2023-04","New Brunswick","2016A000213","Average offered hourly wage","Dollars","81","units","0","v104272711","5.5","22.50","A","","","2"
"2023-07","New Brunswick","2016A000213","Average offered hourly wage","Dollars","81","units","0","v104272711","5.5","23.40","A","","","2"
"2022-07","Quebec","2016A000224","Job vacancies","Number","223","units","0","v104272732","6.1","246230","A","","","0"
"2022-10","Quebec","2016A000224","Job vacancies","Number","223","units","0","v104272732","6.1","208795","A","","","0"
"2023-01","Quebec","2016A000224","Job vacancies","Number","223","units","0","v104272732","6.1","196510","A","","","0"
"2023-04","Quebec","2016A000224","Job vacancies","Number","223","units","0","v104272732","6.1","202095","A","","","0"
"2023-07","Quebec","2016A000224","Job vacancies","Number","223","units","0","v104272732","6.1","175645","A","","","0"
"2022-07","Quebec","2016A000224","Payroll employees","Number","223","units","0","v104272733","6.3","3820720","A","","","0"
"2022-10","Quebec","2016A000224","Payroll employees","Number","223","units","0","v104272733","6.3","3870040","A","","","0"
"2023-01","Quebec","2016A000224","Payroll employees","Number","223","units","0","v104272733","6.3","3794630","A","","","0"
"2023-04","Quebec","2016A000224","Payroll employees","Number","223","units","0","v104272733","6.3","3832900","A","","","0"
"2023-07","Quebec","2016A000224","Payroll employees","Number","223","units","0","v104272733","6.3","3888125","A","","","0"
"2022-07","Quebec","2016A000224","Job vacancy rate","Percentage","242","units","0","v104272734","6.4","6.1","A","","","1"
"2022-10","Quebec","2016A000224","Job vacancy rate","Percentage","242","units","0","v104272734","6.4","5.1","A","","","1"
"2023-01","Quebec","2016A000224","Job vacancy rate","Percentage","242","units","0","v104272734","6.4","4.9","A","","","1"
"2023-04","Quebec","2016A000224","Job vacancy rate","Percentage","242","units","0","v104272734","6.4","5.0","A","","","1"
"2023-07","Quebec","2016A000224","Job vacancy rate","Percentage","242","units","0","v104272734","6.4","4.3","A","","","1"
"2022-07","Quebec","2016A000224","Average offered hourly wage","Dollars","81","units","0","v104272735","6.5","23.70","A","","","2"
"2022-10","Quebec","2016A000224","Average offered hourly wage","Dollars","81","units","0","v104272735","6.5","24.00","A","","","2"
"2023-01","Quebec","2016A000224","Average offered hourly wage","Dollars","81","units","0","v104272735","6.5","24.65","A","","","2"
"2023-04","Quebec","2016A000224","Average offered hourly wage","Dollars","81","units","0","v104272735","6.5","24.30","A","","","2"
"2023-07","Quebec","2016A000224","Average offered hourly wage","Dollars","81","units","0","v104272735","6.5","25.00","A","","","2"
"2022-07","Ontario","2016A000235","Job vacancies","Number","223","units","0","v104272804","7.1","372075","A","","","0"
"2022-10","Ontario","2016A000235","Job vacancies","Number","223","units","0","v104272804","7.1","323100","A","","","0"
"2023-01","Ontario","2016A000235","Job vacancies","Number","223","units","0","v104272804","7.1","279725","A","","","0"
"2023-04","Ontario","2016A000235","Job vacancies","Number","223","units","0","v104272804","7.1","284025","A","","","0"
"2023-07","Ontario","2016A000235","Job vacancies","Number","223","units","0","v104272804","7.1","259735","A","","","0"
"2022-07","Ontario","2016A000235","Payroll employees","Number","223","units","0","v104272805","7.3","6512280","A","","","0"
"2022-10","Ontario","2016A000235","Payroll employees","Number","223","units","0","v104272805","7.3","6625010","A","","","0"
"2023-01","Ontario","2016A000235","Payroll employees","Number","223","units","0","v104272805","7.3","6564190","A","","","0"
"2023-04","Ontario","2016A000235","Payroll employees","Number","223","units","0","v104272805","7.3","6580290","A","","","0"
"2023-07","Ontario","2016A000235","Payroll employees","Number","223","units","0","v104272805","7.3","6666960","A","","","0"
"2022-07","Ontario","2016A000235","Job vacancy rate","Percentage","242","units","0","v104272806","7.4","5.4","A","","","1"
"2022-10","Ontario","2016A000235","Job vacancy rate","Percentage","242","units","0","v104272806","7.4","4.7","A","","","1"
"2023-01","Ontario","2016A000235","Job vacancy rate","Percentage","242","units","0","v104272806","7.4","4.1","A","","","1"
"2023-04","Ontario","2016A000235","Job vacancy rate","Percentage","242","units","0","v104272806","7.4","4.1","A","","","1"
"2023-07","Ontario","2016A000235","Job vacancy rate","Percentage","242","units","0","v104272806","7.4","3.7","A","","","1"
"2022-07","Ontario","2016A000235","Average offered hourly wage","Dollars","81","units","0","v104272807","7.5","24.65","A","","","2"
"2022-10","Ontario","2016A000235","Average offered hourly wage","Dollars","81","units","0","v104272807","7.5","25.55","A","","","2"
"2023-01","Ontario","2016A000235","Average offered hourly wage","Dollars","81","units","0","v104272807","7.5","26.15","A","","","2"
"2023-04","Ontario","2016A000235","Average offered hourly wage","Dollars","81","units","0","v104272807","7.5","26.05","A","","","2"
"2023-07","Ontario","2016A000235","Average offered hourly wage","Dollars","81","units","0","v104272807","7.5","26.25","A","","","2"
"2022-07","Manitoba","2016A000246","Job vacancies","Number","223","units","0","v104272852","8.1","32290","A","","","0"
"2022-10","Manitoba","2016A000246","Job vacancies","Number","223","units","0","v104272852","8.1","25855","A","","","0"
"2023-01","Manitoba","2016A000246","Job vacancies","Number","223","units","0","v104272852","8.1","28140","A","","","0"
"2023-04","Manitoba","2016A000246","Job vacancies","Number","223","units","0","v104272852","8.1","27250","A","","","0"
"2023-07","Manitoba","2016A000246","Job vacancies","Number","223","units","0","v104272852","8.1","24825","A","","","0"
"2022-07","Manitoba","2016A000246","Payroll employees","Number","223","units","0","v104272853","8.3","600580","A","","","0"
"2022-10","Manitoba","2016A000246","Payroll employees","Number","223","units","0","v104272853","8.3","610410","A","","","0"
"2023-01","Manitoba","2016A000246","Payroll employees","Number","223","units","0","v104272853","8.3","602865","A","","","0"
"2023-04","Manitoba","2016A000246","Payroll employees","Number","223","units","0","v104272853","8.3","604315","A","","","0"
"2023-07","Manitoba","2016A000246","Payroll employees","Number","223","units","0","v104272853","8.3","617320","A","","","0"
"2022-07","Manitoba","2016A000246","Job vacancy rate","Percentage","242","units","0","v104272854","8.4","5.1","A","","","1"
"2022-10","Manitoba","2016A000246","Job vacancy rate","Percentage","242","units","0","v104272854","8.4","4.1","A","","","1"
"2023-01","Manitoba","2016A000246","Job vacancy rate","Percentage","242","units","0","v104272854","8.4","4.5","A","","","1"
"2023-04","Manitoba","2016A000246","Job vacancy rate","Percentage","242","units","0","v104272854","8.4","4.3","A","","","1"
"2023-07","Manitoba","2016A000246","Job vacancy rate","Percentage","242","units","0","v104272854","8.4","3.9","A","","","1"
"2022-07","Manitoba","2016A000246","Average offered hourly wage","Dollars","81","units","0","v104272855","8.5","21.60","A","","","2"
"2022-10","Manitoba","2016A000246","Average offered hourly wage","Dollars","81","units","0","v104272855","8.5","21.95","A","","","2"
"2023-01","Manitoba","2016A000246","Average offered hourly wage","Dollars","81","units","0","v104272855","8.5","22.25","A","","","2"
"2023-04","Manitoba","2016A000246","Average offered hourly wage","Dollars","81","units","0","v104272855","8.5","22.80","A","","","2"
"2023-07","Manitoba","2016A000246","Average offered hourly wage","Dollars","81","units","0","v104272855","8.5","23.05","A","","","2"
"2022-07","Saskatchewan","2016A000247","Job vacancies","Number","223","units","0","v104272888","9.1","25445","A","","","0"
"2022-10","Saskatchewan","2016A000247","Job vacancies","Number","223","units","0","v104272888","9.1","23500","A","","","0"
"2023-01","Saskatchewan","2016A000247","Job vacancies","Number","223","units","0","v104272888","9.1","23205","A","","","0"
"2023-04","Saskatchewan","2016A000247","Job vacancies","Number","223","units","0","v104272888","9.1","26385","A","","","0"
"2023-07","Saskatchewan","2016A000247","Job vacancies","Number","223","units","0","v104272888","9.1","25055","A","","","0"
"2022-07","Saskatchewan","2016A000247","Payroll employees","Number","223","units","0","v104272889","9.3","473415","A","","","0"
"2022-10","Saskatchewan","2016A000247","Payroll employees","Number","223","units","0","v104272889","9.3","485555","A","","","0"
"2023-01","Saskatchewan","2016A000247","Payroll employees","Number","223","units","0","v104272889","9.3","481405","A","","","0"
"2023-04","Saskatchewan","2016A000247","Payroll employees","Number","223","units","0","v104272889","9.3","484280","A","","","0"
"2023-07","Saskatchewan","2016A000247","Payroll employees","Number","223","units","0","v104272889","9.3","485595","A","","","0"
"2022-07","Saskatchewan","2016A000247","Job vacancy rate","Percentage","242","units","0","v104272890","9.4","5.1","A","","","1"
"2022-10","Saskatchewan","2016A000247","Job vacancy rate","Percentage","242","units","0","v104272890","9.4","4.6","A","","","1"
"2023-01","Saskatchewan","2016A000247","Job vacancy rate","Percentage","242","units","0","v104272890","9.4","4.6","A","","","1"
"2023-04","Saskatchewan","2016A000247","Job vacancy rate","Percentage","242","units","0","v104272890","9.4","5.2","A","","","1"
"2023-07","Saskatchewan","2016A000247","Job vacancy rate","Percentage","242","units","0","v104272890","9.4","4.9","A","","","1"
"2022-07","Saskatchewan","2016A000247","Average offered hourly wage","Dollars","81","units","0","v104272891","9.5","22.45","A","","","2"
"2022-10","Saskatchewan","2016A000247","Average offered hourly wage","Dollars","81","units","0","v104272891","9.5","22.10","A","","","2"
"2023-01","Saskatchewan","2016A000247","Average offered hourly wage","Dollars","81","units","0","v104272891","9.5","23.40","A","","","2"
"2023-04","Saskatchewan","2016A000247","Average offered hourly wage","Dollars","81","units","0","v104272891","9.5","23.15","A","","","2"
"2023-07","Saskatchewan","2016A000247","Average offered hourly wage","Dollars","81","units","0","v104272891","9.5","23.00","A","","","2"
"2022-07","Alberta","2016A000248","Job vacancies","Number","223","units","0","v104272916","10.1","103380","A","","","0"
"2022-10","Alberta","2016A000248","Job vacancies","Number","223","units","0","v104272916","10.1","93210","A","","","0"
"2023-01","Alberta","2016A000248","Job vacancies","Number","223","units","0","v104272916","10.1","86655","A","","","0"
"2023-04","Alberta","2016A000248","Job vacancies","Number","223","units","0","v104272916","10.1","94145","A","","","0"
"2023-07","Alberta","2016A000248","Job vacancies","Number","223","units","0","v104272916","10.1","89830","A","","","0"
"2022-07","Alberta","2016A000248","Payroll employees","Number","223","units","0","v104272917","10.3","1984925","A","","","0"
"2022-10","Alberta","2016A000248","Payroll employees","Number","223","units","0","v104272917","10.3","2007845","A","","","0"
"2023-01","Alberta","2016A000248","Payroll employees","Number","223","units","0","v104272917","10.3","1999585","A","","","0"
"2023-04","Alberta","2016A000248","Payroll employees","Number","223","units","0","v104272917","10.3","2020890","A","","","0"
"2023-07","Alberta","2016A000248","Payroll employees","Number","223","units","0","v104272917","10.3","2059125","A","","","0"
"2022-07","Alberta","2016A000248","Job vacancy rate","Percentage","242","units","0","v104272918","10.4","5.0","A","","","1"
"2022-10","Alberta","2016A000248","Job vacancy rate","Percentage","242","units","0","v104272918","10.4","4.4","A","","","1"
"2023-01","Alberta","2016A000248","Job vacancy rate","Percentage","242","units","0","v104272918","10.4","4.2","A","","","1"
"2023-04","Alberta","2016A000248","Job vacancy rate","Percentage","242","units","0","v104272918","10.4","4.5","A","","","1"
"2023-07","Alberta","2016A000248","Job vacancy rate","Percentage","242","units","0","v104272918","10.4","4.2","A","","","1"
"2022-07","Alberta","2016A000248","Average offered hourly wage","Dollars","81","units","0","v104272919","10.5","24.80","A","","","2"
"2022-10","Alberta","2016A000248","Average offered hourly wage","Dollars","81","units","0","v104272919","10.5","25.35","A","","","2"
"2023-01","Alberta","2016A000248","Average offered hourly wage","Dollars","81","units","0","v104272919","10.5","25.60","A","","","2"
"2023-04","Alberta","2016A000248","Average offered hourly wage","Dollars","81","units","0","v104272919","10.5","25.10","A","","","2"
"2023-07","Alberta","2016A000248","Average offered hourly wage","Dollars","81","units","0","v104272919","10.5","25.35","A","","","2"
"2022-07","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v104272952","11.1","156645","A","","","0"
"2022-10","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v104272952","11.1","132305","A","","","0"
"2023-01","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v104272952","11.1","123600","A","","","0"
"2023-04","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v104272952","11.1","132685","A","","","0"
"2023-07","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v104272952","11.1","117925","A","","","0"
"2022-07","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v104272953","11.3","2353935","A","","","0"
"2022-10","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v104272953","11.3","2394565","A","","","0"
"2023-01","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v104272953","11.3","2381510","A","","","0"
"2023-04","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v104272953","11.3","2399060","A","","","0"
"2023-07","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v104272953","11.3","2420195","A","","","0"
"2022-07","British Columbia","2016A000259","Job vacancy rate","Percentage","242","units","0","v104272954","11.4","6.2","A","","","1"
"2022-10","British Columbia","2016A000259","Job vacancy rate","Percentage","242","units","0","v104272954","11.4","5.2","A","","","1"
"2023-01","British Columbia","2016A000259","Job vacancy rate","Percentage","242","units","0","v104272954","11.4","4.9","A","","","1"
"2023-04","British Columbia","2016A000259","Job vacancy rate","Percentage","242","units","0","v104272954","11.4","5.2","A","","","1"
"2023-07","British Columbia","2016A000259","Job vacancy rate","Percentage","242","units","0","v104272954","11.4","4.6","A","","","1"
"2022-07","British Columbia","2016A000259","Average offered hourly wage","Dollars","81","units","0","v104272955","11.5","25.45","A","","","2"
"2022-10","British Columbia","2016A000259","Average offered hourly wage","Dollars","81","units","0","v104272955","11.5","26.55","A","","","2"
"2023-01","British Columbia","2016A000259","Average offered hourly wage","Dollars","81","units","0","v104272955","11.5","26.50","A","","","2"
"2023-04","British Columbia","2016A000259","Average offered hourly wage","Dollars","81","units","0","v104272955","11.5","25.80","A","","","2"
"2023-07","British Columbia","2016A000259","Average offered hourly wage","Dollars","81","units","0","v104272955","11.5","27.00","A","","","2"
"2022-07","Yukon","2016A000260","Job vacancies","Number","223","units","0","v104272988","12.1","1720","B","","","0"
"2022-10","Yukon","2016A000260","Job vacancies","Number","223","units","0","v104272988","12.1","1290","C","","","0"
"2023-01","Yukon","2016A000260","Job vacancies","Number","223","units","0","v104272988","12.1","1190","C","","","0"
"2023-04","Yukon","2016A000260","Job vacancies","Number","223","units","0","v104272988","12.1","1330","D","","","0"
"2023-07","Yukon","2016A000260","Job vacancies","Number","223","units","0","v104272988","12.1","1175","C","","","0"
"2022-07","Yukon","2016A000260","Payroll employees","Number","223","units","0","v104272989","12.3","19495","A","","","0"
"2022-10","Yukon","2016A000260","Payroll employees","Number","223","units","0","v104272989","12.3","19230","A","","","0"
"2023-01","Yukon","2016A000260","Payroll employees","Number","223","units","0","v104272989","12.3","18330","A","","","0"
"2023-04","Yukon","2016A000260","Payroll employees","Number","223","units","0","v104272989","12.3","18560","A","","","0"
"2023-07","Yukon","2016A000260","Payroll employees","Number","223","units","0","v104272989","12.3","20170","A","","","0"
"2022-07","Yukon","2016A000260","Job vacancy rate","Percentage","242","units","0","v104272990","12.4","8.1","B","","","1"
"2022-10","Yukon","2016A000260","Job vacancy rate","Percentage","242","units","0","v104272990","12.4","6.3","C","","","1"
"2023-01","Yukon","2016A000260","Job vacancy rate","Percentage","242","units","0","v104272990","12.4","6.1","C","","","1"
"2023-04","Yukon","2016A000260","Job vacancy rate","Percentage","242","units","0","v104272990","12.4","6.7","C","","","1"
"2023-07","Yukon","2016A000260","Job vacancy rate","Percentage","242","units","0","v104272990","12.4","5.5","C","","","1"
"2022-07","Yukon","2016A000260","Average offered hourly wage","Dollars","81","units","0","v104272991","12.5","26.20","A","","","2"
"2022-10","Yukon","2016A000260","Average offered hourly wage","Dollars","81","units","0","v104272991","12.5","28.70","B","","","2"
"2023-01","Yukon","2016A000260","Average offered hourly wage","Dollars","81","units","0","v104272991","12.5","28.90","A","","","2"
"2023-04","Yukon","2016A000260","Average offered hourly wage","Dollars","81","units","0","v104272991","12.5","28.90","B","","","2"
"2023-07","Yukon","2016A000260","Average offered hourly wage","Dollars","81","units","0","v104272991","12.5","28.45","B","","","2"
"2022-07","Northwest Territories","2016A000261","Job vacancies","Number","223","units","0","v104272996","13.1","1820","D","","","0"
"2022-10","Northwest Territories","2016A000261","Job vacancies","Number","223","units","0","v104272996","13.1","1525","D","","","0"
"2023-01","Northwest Territories","2016A000261","Job vacancies","Number","223","units","0","v104272996","13.1","1410","C","","","0"
